id,title,provider,department,description,level,duration,students,rating,url,tags
1,Ultimate Investment Banking Course,Udemy,Business Finance,Course: Ultimate Investment Banking Course. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,2147,5,https://www.udemy.com/ultimate-investment-banking-course/,[]
2,Complete GST Course Certification - Grow Your CA Practice,Udemy,Business Finance,Course: Complete GST Course Certification - Grow Your CA Practice. Category: Business Finance. Level: All Levels. Duration: 39 hours.,All Levels,39 hours,2792,5,https://www.udemy.com/goods-and-services-tax/,[]
3,Financial Modeling for Business Analysts and Consultants,Udemy,Business Finance,Course: Financial Modeling for Business Analysts and Consultants. Category: Business Finance. Level: Intermediate Level. Duration: 2.5 hours.,Intermediate Level,2.5 hours,2174,5,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,[]
4,Beginner to Pro - Financial Analysis in Excel 2017,Udemy,Business Finance,Course: Beginner to Pro - Financial Analysis in Excel 2017. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,2451,5,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,[]
5,How To Maximize Your Profits Trading Options,Udemy,Business Finance,Course: How To Maximize Your Profits Trading Options. Category: Business Finance. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,1276,5,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,[]
6,Trading Penny Stocks: A Guide for All Levels In 2017,Udemy,Business Finance,Course: Trading Penny Stocks: A Guide for All Levels In 2017. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,9221,5,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,[]
7,Investing And Trading For Beginners: Mastering Price Charts,Udemy,Business Finance,Course: Investing And Trading For Beginners: Mastering Price Charts. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,1540,5,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,[]
8,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Udemy,Business Finance,"Course: Trading Stock Chart Patterns For Immediate, Explosive Gains. Category: Business Finance. Level: All Levels. Duration: 2.5 hours.",All Levels,2.5 hours,2917,5,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,[]
9,Options Trading 3 : Advanced Stock Profit and Success Method,Udemy,Business Finance,Course: Options Trading 3 : Advanced Stock Profit and Success Method. Category: Business Finance. Level: Expert Level. Duration: 2.5 hours.,Expert Level,2.5 hours,5172,5,https://www.udemy.com/day-trading-stock-options-3/,[]
10,The Only Investment Strategy You Need For Your Retirement,Udemy,Business Finance,Course: The Only Investment Strategy You Need For Your Retirement. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,827,5,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,[]
11,Forex Trading Secrets of the Pros With Amazon's AWS,Udemy,Business Finance,Course: Forex Trading Secrets of the Pros With Amazon's AWS. Category: Business Finance. Level: All Levels. Duration: 5 hours.,All Levels,5 hours,4284,5,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,[]
12,Trading Options With Money Flow,Udemy,Business Finance,Course: Trading Options With Money Flow. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,1380,5,https://www.udemy.com/trading-options-using-money-flow/,[]
